SR NO.,Car Name,Year,Distance,Owner,Fuel,Location,Drive,Type,Price,,,,,,,,
168,Ford Ecosport,10-Jul-05,43481,2,PETROL,KA-04,Automatic,SUV,884000,,,,,,,,
169,Ford Ecosport,10-Jul-05,21738,1,PETROL,KA-03,Automatic,SUV,912000,,,,,,,,
170,Ford Ecosport,10-Jul-05,53505,1,PETROL,WB-16,Automatic,SUV,741000,,,,,,,,
171,Ford Ecosport,10-Jul-05,61873,1,DIESEL,TS-08,Manual,SUV,881000,,,,,,,,
172,Ford Ecosport,05-Jul-05,59978,2,PETROL,WB-02,Manual,SUV,430000,,,,,,,,
173,Ford Ecosport,11-Jul-05,23724,1,PETROL,MH-14,Manual,SUV,833000,,,,,,,,
174,Ford Ecosport,10-Jul-05,94521,1,DIESEL,CH-01,Manual,SUV,718000,,,,,,,,
175,Ford Ecosport,13-Jul-05,11915,1,PETROL,MH-14,Automatic,SUV,1098000,,,,,,,,
176,Ford Ecosport,12-Jul-05,31724,1,PETROL,KA-04,Automatic,SUV,972000,,,,,,,,
177,Ford Ecosport,10-Jul-05,90114,1,DIESEL,TS-07,Manual,SUV,811000,,,,,,,,
178,Ford Ecosport,11-Jul-05,13204,1,PETROL,MH-14,Automatic,SUV,1028000,,,,,,,,
179,Ford Ecosport,08-Jul-05,51228,2,CNG,MH-47,Automatic,SUV,598000,,,,,,,,
180,Ford Ecosport,10-Jul-05,73725,1,PETROL,TS-07,Manual,SUV,801000,,,,,,,,
181,Ford Ecosport,11-Jul-05,28735,2,PETROL,GJ-01,Automatic,SUV,792000,,,,,,,,
182,Ford Ecosport,11-Jul-05,63133,1,DIESEL,KA-05,Manual,SUV,920000,,,,,,,,
183,Ford Ecosport,09-Jul-05,82722,2,DIESEL,PB-10,Manual,SUV,584000,,,,,,,,
184,Ford Ecosport,10-Jul-05,47956,1,DIESEL,UP-32,Manual,SUV,634000,,,,,,,,
185,Ford Ecosport,09-Jul-05,71230,1,DIESEL,KA-20,Manual,SUV,738000,,,,,,,,
186,Ford Ecosport,06-Jul-05,47208,1,PETROL,WB-08,Manual,SUV,403000,,,,,,,,
187,Ford Ecosport,10-Jul-05,46124,2,PETROL,MH-14,Automatic,SUV,768000,,,,,,,,
188,Ford Ecosport,11-Jul-05,108772,1,DIESEL,TN-72,Manual,SUV,771000,,,,,,,,
