bike_name,price,city,kms_driven,owner,age,power,brand,,,,
Bajaj Avenger 220cc,85000,Chennai,54000,First Owner,6,350,Royal Enfield,,,Honda CBR 250R,42
Bajaj Avenger 220cc,40000,Mumbai,27000,First Owner,7,220,Bajaj,,,Honda CBR 250R ABS,23
Bajaj Avenger 220cc,50000,Bangalore,19000,First Owner,6,150,Yamaha,,,Honda Dream Yuga 110cc,56
Bajaj Avenger 220cc,71800,Mumbai,43500,First Owner,7,350,Royal Enfield,,,Honda Livo 110cc,29
Bajaj Avenger 220cc,71800,Mumbai,43500,First Owner,7,350,Royal Enfield,,,Hyosung GT250R,25
Bajaj Avenger 220cc,75000,Bangalore,11575,First Owner,4,200,Bajaj,,,Kawasaki Ninja 650cc,22
Bajaj Avenger 220cc,1350000,Mumbai,190,First Owner,1,1100,Ducati,,,KTM Duke 200cc,90
Bajaj Avenger 220cc,790000,Mumbai,19000,First Owner,3,765,Triumph,,,KTM Duke 250cc,27
Bajaj Avenger 220cc,47000,Bangalore,8600,First Owner,4,150,Bajaj,,,KTM Duke 390cc,124
Bajaj Avenger 220cc,60000,Pune,2000,First Owner,2,150,Bajaj,,,KTM RC 200cc,111
Bajaj Avenger 220cc,96700,Vadodara,5100,First Owner,1,150,Suzuki,,,KTM RC 390cc,705
Bajaj Avenger 220cc,31900,Delhi,9000,First Owner,5,100,Hero,,,Mahindra Centuro 110cc,25
Bajaj Avenger 220cc,35000,Visakhapatnam,44480,First Owner,13,150,Bajaj,,,Mahindra Mojo 300cc,16
Bajaj Avenger 220cc,240000,Bangalore,11000,First Owner,3,390,KTM,,,Royal Enfield Bullet 350cc,57
Bajaj Avenger 220cc,68000,Delhi,16000,First Owner,7,250,Honda,,,Royal Enfield Bullet Electra 350cc,756
Bajaj Avenger 220cc,80000,Bangalore,26691,First Owner,5,200,Bajaj,,,Royal Enfield Bullet Electra Twinspark 350cc,50
Bajaj Avenger 220cc,135000,Bangalore,45000,First Owner,5,350,Royal Enfield,,,Royal Enfield Bullet Twinspark 350cc,58
Bajaj Avenger 220cc,480000,Mumbai,14200,First Owner,4,600,Benelli,,,Royal Enfield Classic 350cc,1673
Bajaj Avenger 220cc,65000,Thrissur,41000,First Owner,3,150,Suzuki,,,Royal Enfield Classic 500cc,89
Bajaj Avenger 220cc,60000,Bangalore,15000,First Owner,5,150,Yamaha,,,Royal Enfield Classic Chrome 500cc,30
Bajaj Avenger 220cc,80000,Bangalore,12314,First Owner,4,150,Honda,,,Royal Enfield Classic Desert Storm 500cc,54
Bajaj Avenger 220cc,46000,Delhi,11760,First Owner,3,100,Hero,,,Royal Enfield Classic Gunmetal Grey 350cc,24
Bajaj Avenger 220cc,95000,Bangalore,22000,First Owner,11,500,Royal Enfield,,,Royal Enfield Continental GT 535cc,23
Bajaj Avenger 220cc,400000,Delhi,1800,First Owner,4,650,Hyosung,,,Royal Enfield Electra 350cc,30
Bajaj Avenger 220cc,55000,Bangalore,4400,First Owner,4,150,Bajaj,,,Royal Enfield Himalayan 410cc,51
Bajaj Avenger 220cc,63000,Delhi,16000,First Owner,5,150,Yamaha,,,Royal Enfield Standard 350cc,33
Bajaj Avenger 220cc,51000,Faridabad,9000,First Owner,4,150,Bajaj,,,Royal Enfield Standard 500cc,20
Bajaj Avenger 220cc,69900,Delhi,8700,First Owner,3,160,TVS,,,Royal Enfield Thunderbird 350cc,919
Bajaj Avenger 220cc,125000,Gorakhpur,1342,First Owner,4,200,Bajaj,,,Royal Enfield Thunderbird 500cc,103
Bajaj Avenger 220cc,210000,Kolkata,21000,First Owner,6,300,Benelli,,,Royal Enfield‎ Bullet 350cc,27
Bajaj Avenger 220cc,35900,Delhi,19000,First Owner,5,125,Honda,,,Suzuki Gixxer 150cc,62
Bajaj Avenger 220cc,67000,Delhi,13000,First Owner,9,250,Honda,,,Suzuki Gixxer SF 150cc,36
Bajaj Avenger 220cc,29339,Ernakulam,12771,First Owner,4,100,Hero,,,Suzuki Intruder 150cc,29
Bajaj Avenger 220cc,19695,Ernakulam,51576,First Owner,6,100,Hero,,,Suzuki Slingshot Plus 125cc,617
Bajaj Avenger 220cc,48672,Ernakulam,608,First Owner,2,110,Hero,,,Suzuki Zeus 125cc,608
Bajaj Avenger 220cc,40000,Mumbai,13680,First Owner,9,150,Honda,,,TVS Apache RR310,31
Bajaj Avenger 220cc,500000,Bangalore,285,First Owner,5,600,Yamaha,,,TVS Apache RTR 160 4V Disc,20
Bajaj Avenger 220cc,800000,Mumbai,3,First Owner,3,1299,Ducati,,,TVS Apache RTR 160cc,134
Bajaj Avenger 220cc,110000,Bangalore,24676,First Owner,5,410,Royal Enfield,,,TVS Apache RTR 180cc,675
Bajaj Avenger 220cc,92500,Delhi,11000,First Owner,6,350,Royal Enfield,,,TVS Apache RTR 180cc ABS,22
Bajaj Avenger 220cc,57000,Bangalore,28948,First Owner,5,200,Bajaj,,,TVS Apache RTR 200 4V Carburetor,40
Bajaj Avenger 220cc,72500,Delhi,10000,First Owner,10,350,Royal Enfield,,,TVS Apache RTR 200 4V Fi,32
Bajaj Avenger 220cc,68000,Delhi,16000,First Owner,9,200,KTM,,,TVS Sport 100cc,54
Bajaj Avenger 220cc,21500,Barasat,10500,First Owner,5,125,TVS,,,TVS Star City 110cc,35
Bajaj Avenger 220cc,40000,Delhi,20000,First Owner,6,160,TVS,,,TVS Star City Plus 110cc,37
Bajaj Avenger 220cc,91000,Delhi,18000,First Owner,5,350,Royal Enfield,,,TVS Star Sport 100cc,23
Bajaj Avenger 220cc,300000,Ghaziabad,3500,First Owner,6,750,Harley-Davidson,,,Yamaha Fazer 150cc,674
Bajaj Avenger 220cc,47000,Jaipur,70000,First Owner,6,150,Suzuki,,,Yamaha Fazer 25 250cc,613
Bajaj Avenger 220cc,53000,Bangalore,18158,First Owner,6,150,Suzuki,,,Yamaha FZ 150cc,661
Bajaj Avenger 220cc,51000,Bangalore,39140,First Owner,5,150,Suzuki,,,Yamaha FZ S V 2.0 150cc,45
Bajaj Avenger 220cc,48000,Bangalore,27776,First Owner,8,220,Bajaj,,,Yamaha FZ V 2.0 150cc,24
